file,ID,titleStmt_author,titleStmt_title,author_birth,author_death,titleStmt_author_viaf,firstEdition_date,titleStmt_title_viaf,language,words,authorGender,size,reprintCount,timeSlot
SRP19051_SvetozarC_ZenidbaPK.xml,SRP19051,"Ћоровић, Светозар ",Женидба Пере Карантана : ELTeC издање,1875,1919,viaf:136335 wikidata:Q1393103,1905,wikidata:Q109336078,српски,24155,M,short,low,T4
SRP19060_PeraT_Novac.xml,SRP19060,"Талетов, Пера С. ",Новац : роман из београдског живота : ELTeC издање,1875,1955,viaf:26486103 wikidata:Q108983669,1906,wikidata:Q109336112,српски,81145,M,medium,low,T4
SRP19061_DragutinI_HadziDisa.xml,SRP19061,"Илић, Драгутин Ј. ",Хаџи-Диша : роман из живота старог Београда : ELTeC издање,1858,1926,viaf:79412565 wikidata:Q16088422,1906,wikidata:Q109336253,српски,60999,M,medium,high,T4
SRP19062_KostaJ_ZlocinSvekrve.xml,SRP19062,"Јездић, Коста Д. ",Злочин једне свекрве : криминална приповетка : из скоре прошлости / по аутентичним податцима и судским актима написао К. Д. Јездић : ELTeC издање,1853,1930,viaf:58399970 wikidata:Q108983663,1906,wikidata:Q109336080,српски,40431,M,short,low,T4
SRP19063_RadovanTPN_ZemljaPlaca.xml,SRP19063,"Тунгуз-Перовић, Радован ",Из земље плача : ELTeC издање,1879,1944,viaf:305581066 wikidata:Q110813765,1906,wikidata:Q110814344,српски,53737,M,medium,low,T4
SRP19070_JelenaD_FatiSultan.xml,SRP19070,"Димитријевић, Јелена ",Фати-султан : ELTeC издање,1862,1945,viaf:70015495 wikidata:Q3625974,1903,wikidata:Q109336250,српски,25421,F,short,low,T4
SRP19071_StevanS_ZonaZ.xml,SRP19071,"Сремац, Стеван ",Зона Замфирова : приповетка : ELTeC издање,1855,1906,viaf:66526515 wikidata:Q559989,1907,viaf:6726152502776510800003 wikidata:Q109336081,српски,51414,M,medium,high,T4
SRP19080_ModernoRoblje.xml,SRP19080,"Петровић, Бошко Ст. ",Модерно робље : роман из живота босанских Срба : ELTeC издање,1869,1913,wikidata:Q108979610,1908,wikidata:Q109336106,српски,64727,M,medium,low,T4
SRP19090_IvoC_Pauci.xml,SRP19090,"Ћипико, Иво ",Пауци : ELTeC издање,1869,1923,viaf:22935492 wikidata:Q1276843,1909,viaf:8035151656335508400003 wikidata:Q109336118,српски,42271,M,short,high,T4
SRP19091_SretenD_Preporodjaj.xml,SRP19091,"Динић, Сретен ",Препорођај : ELTeC издање,1875,1949,viaf:55248036 wikidata:Q16087986,1909,wikidata:Q109336228,српски,34074,M,short,low,T4
SRP19100_MilutinU_Dosljaci.xml,SRP19100,"Ускоковић, Милутин ",Дошљаци : роман : ELTeC издање,1884,1915,viaf:14831361 wikidata:Q3314554,1910,viaf:2270156374127807710006 wikidata:Q109336072,српски,81827,M,medium,high,T4
SRP19101_BorisavS_NecistaKrv.xml,SRP19101,"Станковић, Борисав ",Нечиста крв : ELTeC издање,1876,1927,viaf:76323147 wikidata:Q370392,1910,viaf:208715862 wikidata:Q109336111,српски,67341,M,medium,high,T4
SRP19102_JovanM_Radisa.xml,SRP19102,"Миодраговић, Јован ",Радиша или какав нам учитељ треба на селу : ELTeC издање,1854,1926,viaf:37838247 wikidata:Q65196974,1910,wikidata:Q109336233,српски,121441,M,long,low,T4
SRP19120_JelenaD-Nove.xml,SRP19120,"Димитријевић, Јелена ",Нове : роман : ELTeC издање,1862,1945,viaf:70015495 wikidata:Q3625974,1912,wikidata:Q109336113,српски,94927,F,medium,low,T4
SRP19121_VeljkoM_Bespuce.xml,SRP19121,"Милићевић, Вељко М. ",Беспуће : ELTeC издање,1886,1929,viaf:81151776825018012654 wikidata:Q12749719,1912,viaf:182747317 wikidata:Q109303303,српски,21144,M,short,high,T4
SRP19130_StojanN_KaludjerHajduk.xml,SRP19130,"Новаковић, Стојан ",Калуђер и хајдук : приповетка о последњим данима Србије у XV веку : ELTeC издање,1842,1915,viaf:64052399 wikidata:Q1276512,1913,wikidata:Q109336096,српски,60464,M,medium,high,T4
SRP19131_VladanDj_UFront.xml,SRP19131,"Ђорђевић, Владан ",У фронт : приповетка из живота једног бившег краља : ELTeC издање,1844,1930,viaf:106964101 wikidata:Q701339,1913,wikidata:Q109336248,српски,29543,M,short,low,T4
SRP19132_SvetozarC_Jarani.xml,SRP19132,"Ћоровић, Светозар ",Јарани : приповетка : ELTeC издање,1875,1919,viaf:136335 wikidata:Q1393103,1913,wikidata:Q109336086,српски,47623,M,short,low,T4
SRP19140_MilutinU_CedomirIlic.xml,SRP19140,"Ускоковић, Милутин ",Чедомир Илић : роман : ELTeC издање,1884,1915,viaf:14831361 wikidata:Q3314554,1914,viaf:177891853 wikidata:Q109336255,српски,53474,M,medium,high,T4
SRP19141_MladenDj_KadSumeTalasi.xml,SRP19141,"Ђуричић, Младен Ст. ",Кад шуме таласи : ELTeC издање,1889,1987,viaf:38235595 wikidata:Q14337072,1914,wikidata:Q109336093,српски,10399,M,short,low,T4
SRP19180_MilicaJ_PreSrece.xml,SRP19180,"Јанковић, Милица ",Пре среће : ELTeC издање,1881,1939,viaf:41876311 wikidata:Q292905,1918,wikidata:Q109336226,српски,32555,F,short,low,T4
SRP19181_DragomirSP_VojnikStojan.xml,SRP19181,"Петровић, Драгомир С.",Војник Стојан : недовршен ратни роман : ELTeC издање,,,viaf:1585145856998122920810 wikidata:Q110813722,1918,wikidata:Q110814770,српски,52913,M,medium,low,T4
SRP19190_IsidoraS_Djakon.xml,SRP19190,"Секулић, Исидора ",Ђакон Богородичине цркве : ELTeC издање,1877,1958,viaf:4943681 wikidata:Q1279865,1919,wikidata:Q109336075,српски,51973,F,medium,high,T4
SRP19192_SvetozarC_Ucelijama.xml,SRP19192,"Ћоровић, Светозар ",У ћелијама : ELTeC издање,1875,1919,viaf:136335 wikidata:Q1393103,1919,wikidata:Q109336247,српски,38705,M,short,low,T4
SRP19200_DragomirS_JedanOd.xml,SRP19200,"Шишковић, Драгомир ",Један од многих : роман из престоничког живота : ELTeC издање,????,?,Q108983656,1920,wikidata:Q109336087,српски,17942,M,short,low,T4
SRP19201_BranislavN_1915.xml,SRP19201,"Нушић, Бранислав ",Деветсто петнаеста : трагедија једног народа : ELTeC издање,1864,1938,viaf:73889774 wikidata:Q315136,1920,viaf:316307701 wikidata:Q109336068,српски,155059,M,long,high,T4
SRP19203_KamenkoS_LegijaSmrti.xml,SRP19203,"Суботић, Каменко ",Легија смрти : роман из Балканског рата 1912/1913. (написао Бранислав Јуришић) : ELTeC издање,1870,1932,viaf:184145541835596601348 wikidata:Q61131309,1920,wikidata:Q109336102,српски,156268,M,long,low,T4
,,,,,,,,,,,,,,
,,,,,,,,,,,8,55,62,2
,,,,,,,,,,,92,39,38,18
,,,,,,,,,,,,6,,40
,,,,,,,,,,,,,,40
